name,mainInfo,rightAscension,declination,distance,visualBrightness,apparentDimension,link
 Messier 51B  NGC 5195,Irregular Galaxy  M51B (NGC 5195),13 : 30.0 (h:m),+47 : 16 (deg:m),37000 (kly),9.6 (mag),6.4x4.6 (arc min),http://www.messier.seds.org/m/m051b.html
 Messier 52 ,Open Cluster  M52 (NGC 7654),23 : 24.2 (h:m),+61 : 35 (deg:m),5.0 (kly),7.3 (mag) ,13.0 (arc min),http://www.messier.seds.org/m/m052.html
 Messier 53 ,Globular Cluster  M53 (NGC 5024),13 : 12.9 (h:m),+18 : 10 (deg:m),58.0 (kly),7.6 (mag) ,13.0 (arc min),http://www.messier.seds.org/m/m053.html
 Messier 54 ,Globular Cluster  M54 (NGC 6715),18 : 55.1 (h:m),-30 : 29 (deg:m),87.4 (kly),7.6 (mag) ,12.0 (arc min),http://www.messier.seds.org/m/m054.html
 Messier 55 ,Globular Cluster  M55 (NGC 6809),19 : 40.0 (h:m),-30 : 58 (deg:m),17.3 (kly),6.3 (mag) ,19.0 (arc min),http://www.messier.seds.org/m/m055.html
 Messier 56 ,Globular Cluster  M56 (NGC 6779),19 : 16.6 (h:m),+30 : 11 (deg:m),32.9 (kly),8.3 (mag) ,8.8 (arc min),http://www.messier.seds.org/m/m056.html
 Messier 57 ,Planetary Nebula  M57 (NGC 6720),18 : 53.6 (h:m),+33 : 02 (deg:m),2.3 (kly),8.8 (mag) ,1.4x1.0 (arc min),http://www.messier.seds.org/m/m057.html
 Messier 58 ,Spiral Galaxy  M58 (NGC 4579),12 : 37.7 (h:m),+11 : 49 (deg:m),60000 (kly),9.7 (mag) ,5.5x4.5 (arc min),http://www.messier.seds.org/m/m058.html
 Messier 59 ,Elliptical Galaxy  M59 (NGC 4621),12 : 42.0 (h:m),+11 : 39 (deg:m),60000 (kly),9.6 (mag) ,5x3.5 (arc min),http://www.messier.seds.org/m/m059.html
 Messier 60 ,Elliptical Galaxy  M60 (NGC 4649),12 : 43.7 (h:m),+11 : 33 (deg:m),60000 (kly),8.8 (mag) ,7x6 (arc min),http://www.messier.seds.org/m/m060.html
 Messier 61 ,Spiral Galaxy  M61 (NGC 4303),12 : 21.9 (h:m),+04 : 28 (deg:m),60000 (kly),9.7 (mag) ,6x5.5 (arc min),http://www.messier.seds.org/m/m061.html
 Messier 62 ,Globular Cluster M62 (NGC 6266),17 : 01.2 (h:m),-30 : 07 (deg:m),22.5 (kly),6.5 (mag) ,15.0 (arc min),http://www.messier.seds.org/m/m062.html
 Messier 63 ,Spiral Galaxy  M63 (NGC 5055),13 : 15.8 (h:m),+42 : 02 (deg:m),37000 (kly),8.6 (mag) ,10x6 (arc min),http://www.messier.seds.org/m/m063.html
 Messier 64 ,Spiral Galaxy  M64 (NGC 4826),12 : 56.7 (h:m),+21 : 41 (deg:m),19000 (kly),8.5 (mag) ,9.3x5.4 (arc min),http://www.messier.seds.org/m/m064.html
 Messier 65 ,Spiral Galaxy  M65 (NGC 3623),11 : 18.9 (h:m),+13 : 05 (deg:m),35000 (kly),9.3 (mag) ,8x1.5 (arc min),http://www.messier.seds.org/m/m065.html
 Messier 66 ,Spiral Galaxy  M66 (NGC 3627),11 : 20.2 (h:m),+12 : 59 (deg:m),35000 (kly),8.9 (mag) ,8x2.5 (arc min),http://www.messier.seds.org/m/m066.html
 Messier 67 ,Open Cluster  M67 (NGC 2682),08 : 51.3 (h:m),+11 : 48 (deg:m),2.7 (kly),6.1 (mag) ,30.0 (arc min),http://www.messier.seds.org/m/m067.html
 Messier 68 ,Globular Cluster  M68 (NGC 4590),12 : 39.5 (h:m),-26 : 45 (deg:m),33.3 (kly),7.8 (mag) ,11.0 (arc min),http://www.messier.seds.org/m/m068.html
 Messier 69 ,Globular Cluster  M69 (NGC 6637),18 : 31.4 (h:m),-32 : 21 (deg:m),29.7 (kly),7.6 (mag) ,9.8 (arc min),http://www.messier.seds.org/m/m069.html
 Messier 70 ,Globular Cluster M70 (NGC 6681),18 : 43.2 (h:m),-32 : 18 (deg:m),29.3 (kly),7.9 (mag) ,8.0 (arc min),http://www.messier.seds.org/m/m070.html
 Messier 71 ,Globular Cluster  M71 (NGC 6838),19 : 53.8 (h:m),+18 : 47 (deg:m),13.0 (kly),8.2 (mag) ,7.2 (arc min),http://www.messier.seds.org/m/m071.html
 Messier 72 ,Globular Cluster  M72 (NGC 6981),20 : 53.5 (h:m),-12 : 32 (deg:m),55.4 (kly),9.3 (mag) ,6.6 (arc min),http://www.messier.seds.org/m/m072.html
 Messier 73 ,Group or Asterism of  4 Stars  M73 (NGC 6994),20 : 58.9 (h:m),-12 : 38 (deg:m),2.5 (kly),9.0 (mag) ,2.8 (arc min),http://www.messier.seds.org/m/m073.html
 Messier 74 ,Spiral Galaxy  M74 (NGC 628),01 : 36.7 (h:m),+15 : 47 (deg:m),35000 (kly),9.4 (mag) ,10.2x9.5 (arc min),http://www.messier.seds.org/m/m074.html
 Messier 75 ,Globular Cluster  M75 (NGC 6864),20 : 06.1 (h:m),-21 : 55 (deg:m),67.5 (kly),8.5 (mag) ,6.8 (arc min),http://www.messier.seds.org/m/m075.html
